neighborhood,city,description,price,condominio,iptu,area,bedrooms,suite,bathrooms,garage,link
Botafogo, Rio de Janeiro,"Privilégio Imóveis vende: Maravilhosa cobertura no coração de Botafogo, composta por 2 quartos (sendo 1 suíte), sala ampla com acesso a uma aconchegante área externa, cozinha americana, dependência completa. Imóvel totalmente reformado e automatizado, elétrica e hidráulica refeitas, com armários planejados, blindex e splits. Pronto pra entrar e morar! 1 vaga na garagem. Localização privilegiada: próximo ao metrô e comércios variados. Venha conferir, agende já a sua visita!! O valor deste imóvel poderá sofrer alterações sem aviso prévio. Avaliamos seu imóvel gratuitamente. Fale conosco também pelo nº .", 2290000,1000,2104,87,2,1,3,1,https://www.zapimoveis.com.br/imovel/venda-cobertura-2-quartos-com-ar-condicionado-botafogo-zona-sul-rio-de-janeiro-rj-87m2-id-2637863570/
Flamengo, Rio de Janeiro,"Excelente localização, próximo a todo o comércio da região, poucos minutos do metrô.Sou um excelente apartamento, frontal, composto por uma sala ampla, 2 quartos espaçosos, banheiro social, cozinha cabendo tudo, dependência completa e uma vaga escriturada e demarcada.O meu prédio é totalmente residencial e muito bem administrado.", 680000,950,0,70,2,0,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-flamengo-zona-sul-rio-de-janeiro-rj-70m2-id-2641426195/
Copacabana, Rio de Janeiro,"Privilegio Imoveis vende: Ótimo apartamento de frente. Próximo ao vasto comércio da região. Composto por sala clara e arejada, sol da manhã, banheiro social amplo com possibilidade de fazer o segundo banheiro. Possui 3 quartos amplos, sendo 1 suíte, todos com armário embutido. Cozinha com armário embutido, área de serviço e dependência completa. Inventário finalizado. O prédio possui 5 manobristas, 1 vaga na convenção, portaria 24h, bicicletário. Fácil acesso aos transportes locais.", 980000,1799,3308,92,3,1,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-ar-condicionado-copacabana-zona-sul-rio-de-janeiro-rj-92m2-id-2637858011/
Vila da Penha, Rio de Janeiro,"Excelente apartamento, de frente com boa metragem medindo 77 m² de área construída, Isento de IPTU, com direito a 1 vaga de garagem na escritura, maravilhosa sala em dois ambientes, 2 amplos dormitórios, cozinha arejada com dependência de empregada completa, área de serviço, 1 banheiro social com box blindex, (total de 2 banheiros). Ótima localização, a minutos do Shopping Carioca, Metrô, comercio, Bancos, Restaurantes, condução, Documentação perfeita, ligue e agende sua visita.Este é o imóvel que procura? Caso não seja, temos mais de 2.000 imóveis para sua escolha. Ligue agora ou venha tomar um café conosco, nossos profissionais terão o maior prazer em ajudar na sua escolha. Precisa vender seu imóvel? Temos a equipe mais preparada do mercado para avaliar seu imóvel e sendo a empresa que mais anuncia na zona norte, garantimos uma venda rápida e com total segurança, venha conhecer nossa estrutura. Traga a documentação do seu imóvel que verificaremos se existem pendências. Aguardamos sua visita: Rua Dias da Cruz n° 409 Loja D – Méier   Rio de Janeiro, RJ. Tel: Ref: ME3877 1c203", 320000,450,1,77,2,0,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-vila-da-penha-zona-norte-rio-de-janeiro-rj-77m2-id-2631307511/
Centro, Rio de Janeiro,"Sala Comercial no Centro do Rio de Janeiro, com Armários, ar condicionado, piso, rebaixamento de teto e luminárias. Imóvel pronto pra uso. Localizado em uma das principais vias do Centro, próximo a Lapa, a Av. Presidente Vargas e a grandes polos empresariais.Além disso, conta com uma infraestrutura moderna, com tudo que a sua empresa precisa.", 240000,533,47,28,1,0,1,N/A,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-elevador-centro-zona-central-rio-de-janeiro-rj-28m2-id-2544006618/
Barra da Tijuca, Rio de Janeiro,"Belíssima cobertura no Jardim Oceânico!Ela é composta por um salão de 90m² com ar central, 4 suítes (Closets montados em 3 suítes e a suíte Máster com closet feminino e masculino); escritório; espaço de cinema montado com equipamentos, sofá decorado e cortina elétrica; cozinha com armários Roma, cooktop, torre quente e cristaleira. O segundo andar possui uma mini copa.A área externa é composta de piscina com hidromassagem, jardim vertical com irrigação automática e área Gourmet com churrasqueira de carvão.100% das instalações elétricas e hidráulicas são novas. Todos os banheiros possuem armários, espelhos e boxes até o teto. Todas as suítes, cinema, escritório e a sala no segundo andar possuem Splits lg inverter com comando de voz. A cobertura dispõe de 2 aquecedores novos, sistema de água pressurizada em toda cobertura, painel Alexa na cozinha, fechadura eletrônica na porta principal e telhas termoacústicas. Todas as suítes terão Alexas embutidas no teto para comandar iluminação e ar condicionado.3 vagas na escritura.Que tal marcar uma visita?i9 realizadora de sonhos ✨", 6200000,2500,16000,476,4,1,4,3,https://www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-476m2-id-2633420274/
Barra da Tijuca, Rio de Janeiro,"Península Golden Royal Amplo apartamento, vista deslumbrante para a lagoa. Com 338m2, 4 suítes, cozinha com armários , fogão embutido, quarto de empregada, dispensa, salão em 3 ambientes, sala de estar,", 3800000,4554,1100,338,4,1,7,4,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-338m2-id-2609473875/
Copacabana, Rio de Janeiro,"Maravilhoso apartamento. Posto 3, há uma quadra da praia, em uma das melhores ruas de Copacabana. Apartamento todo reformado com fino gosto, salão em 2 ambientes com varanda e com rebaixamento de teto e iluminação interna, 3 excelentes quartos sendo, 2 com suítes. Todos com armários embutidos um deles com varanda interna. Sendo, ao todo 4 banheiros, os dois da suíte, o lavabo, e o de serviço. Cozinha grande com armários embutidos, e dependência de empregada com entrada de serviço e social. Entrar e morar, nada a fazer. A Nova Época imóveis tem corretores altamente qualificados. Consulte um dos nossos corretores e agende sua visita ou venha nos visitar. Rua Barata Ribeiro, 505, Copacabana. Muito mais que uma imobiliária, encontre o imóvel ideal para você, com a segurança do acompanhamento de um especialista, durante todo o processo. O preço do imóvel está sujeito a mudança sem aviso prévio, conforme solicitação do proprietário. Avaliamos seu imóvel. 18881", 2100000,1600,6341,182,3,1,6,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-copacabana-zona-sul-rio-de-janeiro-rj-182m2-id-2625817587/
Jacarepaguá, Rio de Janeiro,"Rio2, Excelente apto com 91m², 3Qtos, 1 suíte, sala ampla em 2 ambientes, piso em porcelanato, split, quartos com armários italinea, suíte com armários e sapateira, banheiros com blindex e armários, varanda com linda vista para lagoa e ciclovia, copa cozinha planejada, bh de empregada, 1 vaga coberta na escritura, documentação ok, aceita financiamento e FGTS.  ", 719900,1564,195,91,3,1,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jacarepagua-zona-oeste-rio-de-janeiro-rj-91m2-id-2637505061/
Recreio dos Bandeirantes, Rio de Janeiro,"Excelente Cobertura Duplex, no condomínio Barra Bali na Barra da Tijuca, o condomínio possui transporte exclusivo para o Centro do Rio de Janeiro e para a praia da Reserva na Barra da Tijuca, já inclusos no condomínio. Localização privilegiada, debruçada sob a lagoa de Marapendi e Restinga de Marapendi, ficando próximo das principais escolas do bairro, mercados, vias de acessos, e praias. A cobertura é nova, nunca foi utilizada, 1 Locação. No 1º Pavimento, temos a sala integrada com um varandão, um banheiro social 2 quartos, sendo 1 suíte. E no 2º Pavimento, temos um Hall com Banheiro social, e um terraço com a possibilidade de transformar facilmente 1 quarto, uma área de piscina, e estrutura para área Gourmet, como churrasqueira e forno de Pizza. Nossa unidade tem vista livre. Entrar e morar.", 780000,1900,4000,152,2,1,3,2,https://www.zapimoveis.com.br/imovel/venda-cobertura-2-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-152m2-id-2534154460/
Barra da Tijuca, Rio de Janeiro,"Oportunidade excelente apartamento Condomínio Orizzonte di Barra com 4 quartos, 1 reversível, 122 m², ampla sala, claro, arejado, sol passante, 2 vagas de garagem, vaga de visitante. Condomínio com Piscina adulto e infantil, churrasqueira, salão de festa, academia, play, bicicletario, sauna. Tenho outros na ABM, Jardim Oceânico, Lucio Costa, Praia do Pepê, Dulcidio Cardoso, Parque das Rosas, Le Park, Península, Atlantys Duplex, Barra Golden, Blue Coast, Costa Bella, Itapoã, Lyon, Porto Seguro, Saint George, SaTenho outros na ABM, Jardim Oceânico, Lucio Costa, Praia do Pepê, Dulcidio Cardosoint Germain, Summer Coast, Sunset, Jatiuca, Sol Marapendi, Key West, Key Biscaine, San Filipo, Villa Borguese, Estrela do Mar, Royal, Wonderful, Paradiso, Sunset, Lake Buena Vista, Via Barra, Costa Bella, Royal, Barra One, Costa Blanca, Summer Coast, Portal da Barra, Mar de Prata, North Coast, Residencial Vitoria, Costa Bela, Barramares, Ilha do Cozumel, Lanai, Maximo, Barraleme, La Reserve, Sheraton, Summer Dreams, Fanny, Waterways, Monaco, Golden Green, RHR, Barra Royal Plaza, Alfa Barra, La Reserve, Rosa Maior, Long Beach, Rosa da Barra, Mediterraneo, Riviera Del Fiori, Varanda das Rosas, Palm Springs, Liberty Place, Rosa da Barra, California Park, Rosa dos Mares, Rosa dos Ventos, Mandala, Novo Leblon, Nova Ipanema, Bourbon, Barra Deck, Solar da Barra, Nau da Barra, Mundo Novo, Americas Park, Malibu, Portal da barra, Vistta Laguna, Santa Monica Jardins, Barra Sunday, Viva Viver, Barrabali, Barra Sul, Pontões, Pedra de Itauna, Riserva Uno, Riserva Golf, London Green, Blue Land, Blue One, Ventanas, Libertá, Peninsula Monet, Atmosfera, Peninsula Fit, Saint Martin, 360 on the park, Via Bela, Peninsula Way, Vila do Pan, Ilha Pura, Liberty Green, Aquagreen, Barra Central Park, Peninsula Smart, Mandarim, Spacio Laguna,Rio2, Rio 2, Front Lake, Alsacia, Genova, Borgonha, Sicilia, Sardenha, Verona, San Remo, Fontana de Trevi, Green Park, Verano, Maayan, Majestic, Reserva Jardim, Reserva do Parque, Normandie, Bretanha, Provence, Verano Stay, Verano Confort Stay, Essence Condominium, Soho Residence, Union Square, Union Suites, Union Home, Estrelas Full Condominium, Like Cyrela, Fontano de Trevi, Portal do Atlantico, Freedom Barra, Jardim da Barra, Soleil, Barra Fun, Barra mais, Quality Green, Milano, Origami, Villa d Italia, Vila de Italia, Orizontte di Barra, Joia da Barra, Bora bora, BoraBora, Coppe Barra, Grand Village, Villa Luna, Corinto, Villa Cielo, Villa Stella, Vila Firenze, Villa de Espana, Pan Privilege, Pan Prime, Barra Premier, Pan Paradiso, Solar Aroazes,Costa Allegra, Costa Alegra, Vila Del mar, Gran Prix, Personalise, Barra Quality, Vila Messina, Reserva Carioca, Barra Único, Top Life.", 735000,1289,2600,122,4,1,3,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-122m2-id-2551734753/
Barra da Tijuca, Rio de Janeiro,"Lindo imóvel, totalmente novo. Vista mar e Lagoa. Apartamento sol da manhã. Composto por 1 suíte com armário , 2 banheiros, sala ampla, cozinha com armários, varanda grande. Condomínio fechado, academia, churrasqueira, playground, sauna, salão de festa e piscina, segurança 24h.", 760000,1200,320,64,1,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-64m2-id-2634468878/
Leblon, Rio de Janeiro,"Leblon Oportunidade Única Apartamento 1 por andar , Vazio com 179m2 Próximo a Praia . Com Salão em 2 Ambientes Vista Livre , 3 Amplos Quartos , Sendo uma Suíte com Closet, Banheiros todos com Box Blindex , Ampla Copa cozinha com armários , Lavanderia , Dependência de Empregada completa, 1 Vaga de Garagem , Portaria 24hs AGENDE SUA VISITA", 3250000,3900,896,179,3,1,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-leblon-zona-sul-rio-de-janeiro-rj-179m2-id-2623269886/
Recreio dos Bandeirantes, Rio de Janeiro,"Oceana RecreioO Oceana WaterFront é um empreendimento de apartamentos que promete mudar o Recreio, combinando a qualidade de vida de um bairro único como recreioApartamentos de 3 Quartos com 138m² até 152m²;Coberturas de 3 quartos com 283m²; Coberturas de 4 quartos com 322m².Localização: Avenida Lúcio Costa – Recreio dos bandeirantes.", 2050000,10,10,152,3,0,2,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-152m2-id-2548163059/
Lagoa, Rio de Janeiro,"No início do Jardim Botânico entre a Lagoa e a montanha, em rua tranquila, com farto comércio e condução ao redor, em prédio com portaria 24 horas, play e salão Linda Vista! Pertinho da Lagoa!!! Andar Alto. Linda Vista para o Cristo e Lagoa. Ótima Sala, com vista para o Cristo, 2 ótimos Quartos com Armários embutidos, sendo um deles Suíte, Banheiro Social com Box Blindex, Cozinha, Área de Serviço, Banheiro de Serviço. 1 Vaga na Escritura. Na hora de avaliar, vender ou comprar seu imóvel, ter Foco é indispensável. Temos as melhores ofertas de imóveis à venda na Zona Sul. Visite nossa loja na Rua Jardim Botânico 67, Loja D, Jardim Botânico, ou clique no logotipo da Foco Imobiliária ao lado, e visualize todas as nossas ofertas. O preço do imóvel e suas taxas, estão sujeito à mudança sem aviso prévio, conforme indicação do proprietário. Cod:JBAP21270  Rev.03Jul", 1190000,1050,1670,80,2,1,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-ar-condicionado-lagoa-zona-sul-rio-de-janeiro-rj-80m2-id-2576878059/
Barra da Tijuca, Rio de Janeiro,"No exclusivo condomínio Saint Tropez, localizado na Avenida Lúcio Costa, excelente cobertura duplex, composta de : 1o. piso   Salão em dois ambientes com projeto de iluminação e piso em granito claro, varandão com linda vista para o mar, 2 quartos com armários embutidos sendo uma suite com closet, copa cozinha planejada com duas bancadas em granito, área de serviços e dependências completas de empregados; 2o. piso   escada linear de acesso, sala intima com home theater, 2 quartos sendo uma suite com closet, banheiro social, terraço com piscina, deck e churrasqueira, 3 vagas de garagem na escritura e box de guardados.Condomínio dotado de completa infraestrutura de lazer e segurança 24h, com piscina adulto e infantil, sauna seca e úmida, sala de repouso, hidromassagem aquecida, academia com vestiário, quadra poliesportiva, duas quadra de tênis de saibro, restaurante, salões de festas, playground.", 5500000,5200,1900,254,4,1,3,3,https://www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-254m2-id-2630893980/
Tijuca, Rio de Janeiro,"O apartamento está localizado no bairro Tijuca com 75 metros quadrados com 3 quartos sendo 1 suite e 2 banheirosPossui área de fitness, sacada.Vai lhe possibilitar curtir os dias mais quentes na piscina.Elevador que garante o transporte das suas malas e compras.Espaço reservado para preparar o seu churrasco.Encontra se na privacidade de um condomínio fechado.", 699000,20,20,75,3,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-tijuca-zona-norte-rio-de-janeiro-rj-75m2-id-2496007210/
Flamengo, Rio de Janeiro, Cod:LAAP12233  Rev.03Jul, 650000,0,0,28,1,0,1,N/A,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-cozinha-flamengo-zona-sul-rio-de-janeiro-rj-28m2-id-2582193592/
Vila Valqueire, Rio de Janeiro,"Linda e ampla Casa duplex em Condominio fechado, 2 suítes, 6 banheiros, 3 salas : TV, Jantar e estar com lindo jardim de inverno, a suíte master com 40 m² com hidromassagem e amplo closet. Cozinha independente ( Passa pratos) totalmente planejada. 2 amplas varandas. Quintal gramado, com area gourmet com Churrasqueira, forno a lenha com bancada em granito, pia e armários e um banheiro de apoio. Piscina privativa. Ampla sala de Ginastica toda montada no 2º piso. Quintal gramado com jardim e plantas frutíferas. Ficam todos os moveis fixos planejados. O imóvel recentemente reformado com alto padrão de acabamento!Condominio com Portaria e segurança 24 h e em Localização privilegiada, próximo a comércio, serviços como Escolas, cursos, academias, e farta mobilidade. Valor baixou de R$ 1.790.000, ***Para R$ 1.732.000,Estuda proposta, exceto permuta! Temos Assessoria juridica Imobiliária. Fazemos avaliação gratuita do seu imóvel. Havendo real interesse entre em contato ou informe um telefone para retorno. As visitas precisam ser agendadas com antecedência. Rosi", 1732000,400,5257,437,4,1,6,3,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-mobiliado-vila-valqueire-zona-norte-rio-de-janeiro-rj-437m2-id-2523815778/
Centro, Rio de Janeiro,"Acena Rio Imóveis vende vaga coberta em edifício garagem, situado em ponto central do Centro do Rio, na Rua da Assembléia a poucos passos da Av. Rio Branco e do Largo da Carioca. Se situa ainda próxima do Terminal Menezes Cortes, Vertical Shopping, Praça XV, estação das barcas e do Tribunal de Justiça.Temos outras unidades comerciais na região, para venda e locação (Edifício Rodolpho De Paoli, Edifício Avenida Central, Largo da Carioca, Rua do Ouvidor, Av. Presidente Vargas entre outros). Consulte nossa disponibilidade.CRECI RJ 8117/O  ", 40000,600,150,22,0,0,0,1,https://www.zapimoveis.com.br/imovel/venda-loja-salao-centro-zona-central-rio-de-janeiro-rj-22m2-id-2623807570/
Tijuca, Rio de Janeiro,"Salão, 2 quartos com armários, coladinho praça Saenz Peña vistão panorâmico livre, fundos, sol matinal, cozinha cabendo fogão e geladeira, banheiro social amplo com blindex, dependências completas com quartinho, banheiro e área de serviço com tanque e local para máquina de lavar. Prédio com portaria 24h, câmeras, elevadores novos, salão de festas. 8 andares, apenas 6 por andar.Possibilidade de alugar vaga de garagem no prédio.",0,800,1129,70,2,0,3,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-tijuca-zona-norte-rio-de-janeiro-rj-70m2-id-2639706786/
Vila Isabel, Rio de Janeiro,"Apartamento completamente reformado, instalação elétrica trifásica, com ótimos armários, box blindex no banheiro e cozinha anexa à área de serviço.Documentação perfeita   aceita financiamento e FGTS. Ficam no apartamento: cooktop, depurador e forno.Vaga garantida no condomínio mediante taxa mensal de R$40Condomínio com 5 blocos, cada um com 10 andares, portaria 24 horas, câmeras e 2 elevadores. Vagas para visitantes, gratuita por 3 horas. A menos de 1km do Shopping Tijuca e a 700m do Pólo Gastronômico. Variedade de comércio, serviços e transporte.Agende uma visita conosco!A3Z3", 390000,780,0,56,2,0,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-vila-isabel-zona-norte-rio-de-janeiro-rj-56m2-id-2586520056/
Andaraí, Rio de Janeiro,"N1 gestão imobiliária apresenta mais uma excelente oportunidade, integração metrô,comércio e conduçãoApartamento composto de salão,dois dormitórios, banheiro social,cozinha , dependência completa e uma boa área externa.Possibilidade de alugar vaga Agenda já sua visita com corretorAvaliamos com excelência", 139000,510,1,72,2,0,2,0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-grajau-zona-norte-rio-de-janeiro-rj-72m2-id-2629718760/
Copacabana, Rio de Janeiro,"Maravilhoso apartamento de dois quartos no coração de copacabana com dependência completa,sendo sala ampla,arejada,pé direito alto,piso amadeirado em taco,janelas em esquadria de alumínio,posição de frente,sol da tarde,quartos com guarda roupas planejado,piso amadeirado em taco,boa iluminação natural,cozinha ampla com parede revestida em azulejo,espaço para fogão,geladeira armários planejados,pia com bancada mármore cuba em inox,banheiro com box em esquadria de alumínio com acrílico,pia com bancada mármore cuba de porcelanato,área de serviço com ótima ventilação natural e bem iluminada.localização privilegiada com fácil acesso ao metrô,comércios,supermercados,agências bancarias e 2min da praia.Não percam essa oportunidade e agende seu horário de visita!!!ATUALIZADO 06/06***ANÚNCIO SUJEITO A ALTERAÇÃO SEM AVISO PRÉVIO***",0,600,250,90,2,0,2,0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-copacabana-zona-sul-rio-de-janeiro-rj-90m2-id-2615336715/
Barra da Tijuca, Rio de Janeiro,"LOPES ENJOY VENDE. Jardim Oceânico, rua tranquila e arborizada, linda cobertura duplex com vista para a Pedra da Gávea muito bem distribuída: primeiro pavimento   hall social, salão em vários ambientes, espaçosa varanda, sala de jantar, lavabo, 02 suítes indevassáveis com closet, roupeiro, copa cozinha planejada, área de serviço e dependências de empregada. Segundo pavimento sala, 01 suíte com espaço para escritório, terraço, parte coberta, deck, ótima piscina e espaço gourmet, com bancada e churrasqueira, sauna, chuveirão, banheiro de apoio, Split nos ambientes e 2 vagas de garagem. Excelente localização, permite a mobilidade para quase tudo a pé, próximo ao comércio, bancos, academias, restaurantes, metrô e praia. Venha morar no Jardim Oceânico! Fale conosco! Atualizado em dezoito de junho de dois mil e vinte e três.@barralopesenjoy  ", 2900000,1495,880,305,3,1,6,2,https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-com-piscina-jardim-oceanico-zona-sul-rio-de-janeiro-rj-305m2-id-2551886422/
Praça Seca, Rio de Janeiro,"Próximas ao Supermercado Mundial e Igreja Cristo Vive, são duas casas (Frente e Fundos), sendo a casa de frente composta de Garagem, Sala em 3 ambientes, 4 Quartos, sendo 2 Suítes, Sala de Música, Terraço,4 Banheiros e espaçosa cozinha. A Casa dos Fundos, 135 m²: Sala em dois ambientes, 2 Quarto sendo 1Suíte), Lavanderia e Cozinha. No centro do terreno 1 piscina para o lazer das famílias. Aceita se FGTS e Financiamento.A4Z4", 450000,0,2550,290,5,1,3,1,https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-piscina-praca-seca-zona-oeste-rio-de-janeiro-rj-290m2-id-2601044521/
Ipanema, Rio de Janeiro,"Localização nobilíssima!!! Prédio imponente, com porteiro 24 horas!! Excelente imóvel voltado para a rua Redentor, composto de salão com acesso à varanda, lavabo, 4 dormitórios, 2 suítes, banheiro social, copa/cozinha planejada, área e dependência completa. 3 vagas escrituradas!!!Ligue e agende sua visita!Atenção: Os preços e taxas podem sofrer alterações sem aviso prévio. As mobílias não estão incluídas, exceto para imóveis que possuem informação específica que são mobiliados. Considerando a rotatividade dos imóveis é possível que existam imóveis no site que já tenham sido vendidos ou alugados.", 7350000,4000,13005,250,4,1,2,3,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-interfone-ipanema-zona-sul-rio-de-janeiro-rj-250m2-id-2566936039/
Copacabana, Rio de Janeiro,"Copacabana Oportunidade! Ótima Localização rua tranquila arborizada. Junto ao metrô e a praia. Prédio imponente, somente uma unidade por andar, portaria 24h, circuito interno de TV. Excelente apartamento com planta diferenciada em andar alto, vista livre, claro e arejado, silencioso. composto por sala em 3 ambientes sendo sala de estar, sala de tv, sala de jantar, varanda interna e jardim de inverno, lavabo, quatro quartos com armários sendo duas suítes e quarto com acesso a varanda descoberta , copa cozinha com armários, área de serviço e 2 dependências completas. 1 vaga de garagem na escritura. O valor do IPTU é referente à parcela. Orla Rio, a sua imobiliária especialista em imóveis na zona sul, desde 2002 no mercado imobiliário. Apartamentos e Coberturas nos melhores bairros: Ipanema, Leblon, Copacabana, Leme, Botafogo e Flamengo. Seja qual for a sua necessidade, temos o imóvel ideal para você. Cod:OLAP40004  Rev.03Jul", 1800000,2600,757,220,4,1,5,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-ar-condicionado-copacabana-zona-sul-rio-de-janeiro-rj-220m2-id-2562090112/
Copacabana, Rio de Janeiro,"Privilégio imóveis vende: Excelente apartamento tipo studio com cozinha, banheiro espaçoso e quato dividido da sala. No posto 5 coração de Copacabana, a 1 minuto da praia, 2 minutos do metrô, perfeito pra morar ou para investir.", 498000,500,971,40,1,0,1,0,https://www.zapimoveis.com.br/imovel/venda-quitinete-1-quarto-com-cozinha-copacabana-zona-sul-rio-de-janeiro-rj-40m2-id-2635876101/
Recreio dos Bandeirantes, Rio de Janeiro,"Casa no condomínio Sun Garden, no Recreio dos Bandeirantes, com 280m2. Composta por 3 andares, sendo no 1º pavimento : Sala com 3 ambientes, lavabo, ampla cozinha com despensa, área de serviço, e dependências; 2º pavimento: 3 suítes, todas com closet, sendo 1 delas máster com banheira, hidromassagem e varanda; 3º pavimento: amplo sótão, Boiler placa solar e caixas d'água. Possuí também área gourmet, com piscina e sauna a vapor; Cisterna com capacidade para10.000l; Garagem coberta para 3 carros. No momento não está disponível para financiamento bancário. ** Valores aproximados de condomínio e IPTU. Nos siga nas redes sociais e acompanhe todas as oportunidades e notícias do mercado imobiliário. Instagram: @lagorioimoveis Twitter:@lagorioimoveis Facebook: lagorioimoveis Tiktok: lagorioimoveis YouTube: Lago Rio Imóveis e mail:", 1263000,580,0,280,4,1,7,3,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-280m2-id-2601091499/
Barra da Tijuca, Rio de Janeiro,"Se você busca morar em um local moderno, espaçoso e com sofisticação, esse é um empreendimento que combina com seu perfil definitivamente. Além da arquitetura diferenciada, o prédio oferece diferenciais para você e sua família! Confira o Viure Ilha Pura , com apartamentos de 2, 3 Quartos e Coberturas, mais uma incrível área de lazer. Imóvel Pronto para Morar, primeira locação, da Construtora Carvalho Hosken em um bairro planejado: Ilha Pura. Não perca mais tempo, ligue agende sua visita e confira.", 1046000,1000,0,115,3,0,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-115m2-id-2637862137/
Copacabana, Rio de Janeiro,"OPORTUNIDADE EM COPACABANA!Excelente Apartamento reformado com vista livre.Composto de 148m² no IPTU. Hall privativo, sala ampla em dois ambientes, 3 quartos amplos com armários (sendo 1 suíte), cozinha ampla e planejada, banheiro social, área e banheiro de serviço e 2 dependências de empregada, 1 VAGA NA ESCRITURA. Andar mediano com vista livre, sol da manhã, claro e arejado, pronto para morar.Prédio bem administrado, sistema interno de Tv, bicicletário, 2 elevadores, 1 unidade por andar.Excelente localização há uma quadra do Metrô e próximo à Praia, todo comércio e serviços na Região.Mais sobre Copacabana   Famosa pela praia em forma de meia lua, Copacabana é um dos bairros mais animados do Rio. Ela atrai moradores e turistas para atividades ininterruptas nas suas areias e no calçadão desenhado. Entre os arranha céus com vista para a praia, estão o hotel Copacabana Palace em estilo art déco e o exuberante Forte de Copacabana, que abriga um museu militar. Mais para dentro do bairro, cafés descontraídos e bares casuais enchem as ruas sossegadas.Ligue e agende sua visita!Atenção: Os preços e taxas podem sofrer alterações sem aviso prévio. As mobílias não estão incluídas, exceto para imóveis que possuem informação específica que são mobiliados. Considerando a rotatividade dos imóveis é possível que existam imóveis no site que já tenham sido vendidos ou alugados.", 1480000,2059,5995,148,3,1,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-ar-condicionado-copacabana-zona-sul-rio-de-janeiro-rj-148m2-id-2631340138/
Barra da Tijuca, Rio de Janeiro,"Peninsula Green Garden   95 m&nbsp;  2 quartos sendo a suíte com closet, banheiro social, dependência e banheiro de empregada revertidos para ampliar a sala. Hidráulica e elétrica totalmente reformado. Apto todo projetado por arquiteto. Andar alto. 2 vagas. PORTEIRA FECHADA. Venda 1.450.000,00 condomínio 2.250,00 Iptu 255,00Características do imóvelAr condicionadoÁrea de serviçoArmário de CozinhaArmário embutidoCloset Sr. e Closet Sra.CozinhaPiso frioSala de estarSala de jantarSol da ManhãVarandaWC de empregadosMais informações em www.mjsrioimoveis.com.br", 1450000,2200,350,95,2,1,3,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-95m2-id-2626915958/
